date	evenement 	frequentation 	publics
03-Apr-14	Inauguration	150
11-Apr-14	Challenge mobilité	80
15-Apr-14	réunion Asso Curiositas	10
17-Apr-14	Retro gaming	20
30-Apr-14	Concert	80
05-May-14	startup collaborative	10
06-May-14	Apéro HYPHD	40
07-May-14	réunion étudiants entrepreneurs	10
20-May-14	atelier DUMO	15
27-May-14	Open Compute Project	30
30-May-14	Tournoi 7 nainpro	200
03-Jun-14	Journée Réussite en Licence	80
10-Jun-14	Open Compute Project	30
16-Jun-14	Made With startup x3	40
17-Jun-14	Made With makers x3	40
18-Jun-14	Made With Communities x2	15
19-Jun-14	Made With Artists x4	50
24-Jun-14	atelier Lisière	30
25-Jun-14	droit d'auteurs	10
26-Jun-14	présentation Curiositas	15
27-Jun-14	Act In Space mentoring	15
28-Jun-14	Ouverture SAS	40
30-Jun-14	Innovation Summer Camp	30
01-Jul-14	Club ville Hydride	80
02-Jul-14	Diagonale soirée	80
04-Jul-14	Compagnons du devoirs	20
08-Jul-14	Open Compute Project	15
11-Jul-14	Projet archi MISS	80
11-Jul-14	entrepreneursiat féminin	10
22-Jul-14	Hack la FING	10
02-Sep-14	Soutenance Licence Pro biotechnologies	40
12-Sep-14	Paris-Saclay numérique #1	20
16-Sep-14	Meetup Open Compute Project 	10
19-Sep-14	Paris-Saclay numérique #2 AM	20
19-Sep-14	Paris-Saclay numérique #2 PM	20
23-Sep-14	Cours Création jeux videos	30
24-Sep-14	démonstration TARDIS AM	15
24-Sep-14	démonstration TARDIS PM	15
25-Sep-14	Journée design Paris Saclay	50
26-Sep-14	Paris Saclay numérique #3	20
30-Sep-14	Meetup Open Compute Project 	10
01-Oct-14	atelier game design	30
02-Oct-14	SmallLab, ouverture du SmallLab	30
03-Oct-14	BusyMeal	5
03-Oct-14	Hackuarium - PROTO204	10
08-Oct-14	La rencontre avec l'Alien dans le cinéma fantastique : quelle place pour le(s) droits ? 	10
08-Oct-14	atelier game design	30
09-Oct-14	Le Bioart à la lumière de l'éthique	40
09-Oct-14	GHOST IN THE SHELL : ENCORE 20 ANS D'ANTICIPATION ? 	40
10-Oct-14	Rencontre avec le traducteur de "Geek Sublime" - Festival VOVF 	10
13-Oct-14	EPPS Pot de rentrée	40
13-Oct-14	projection "Bienvenue à Gattaca" 	5
14-Oct-14	COMMENT MANAGER EN conférenceIANCE - Cycle de réflexion de KUMIUT et TIME TO BE	15
14-Oct-14	soirée doctorants ADDOC	30
14-Oct-14	Meetup Open Compute Project 	10
15-Oct-14	atelier game design	30
16-Oct-14	soirée doctorants ADDOC	30
20-Oct-14	Coding Session 	5
21-Oct-14	Journée Open Access	15
22-Oct-14	atelier game design	30
23-Oct-14	Rallye PEIPS 	40
27-Oct-14	Coding Session 	5
29-Oct-14	Rendu Phase 1 LIPS 	15
03-Nov-14	Coding Session 	5
06-Nov-14	Rencontre TANDEM	60
07-Nov-14	MY BUSY MEAL	5
10-Nov-14	Coding session 	5
12-Nov-14	atelier game design	30
13-Nov-14	Apéro physique 	60
17-Nov-14	tech WEEK - ENSTA KITE 	20
17-Nov-14	Coding Session 	5
18-Nov-14	tech WEEK - ENSTA KITE 	20
19-Nov-14	tech WEEK - ENSTA KITE 	20
19-Nov-14	atelier game design	30
26-Nov-14	Concertation nationale du numérique - atelier #1 : Croissance, Innovation, Disruption	15
26-Nov-14	atelier game design	30
02-Dec-14	Plateformes de partage et culture scientifique 	30
02-Dec-14	démo TARDIS	5
04-Dec-14	Café de l'ADEZAC 	60
04-Dec-14	Le sas investit de nouveau le PROTO204 	20
05-Dec-14	Instal Party 	5
08-Dec-14	Coding Session 	5
09-Dec-14	atelier-découverte des Cercles du CoDéveloppement Professionnel de Paris-Saclay 	5
10-Dec-14	Synenergence - BIOCREA 	30
11-Dec-14	Café des Possibles consommation collaborative 	30
12-Dec-14	"SACLAY - TERRITOIRE FICTION" GHOST CITY LAB 	16
15-Dec-14	Coding Session - VIN CHAUD	10
16-Dec-14	Groupe de travail LIPS 1 : Augmenter la lisibilité des lieux	6
16-Dec-14	MyBusyMeal	15
16-Dec-14	GT 2 LIPS : Développer le fonctionnement commun des lieux innovants Paris-Saclay	5
16-Dec-14	atelier ADDOC	40
17-Dec-14	GT 3 LIPS : Développer un parcours entrepreneursial 	10
18-Dec-14	Apéro physique #2	20
12-Jan-15	Coding Session	4
14-Jan-15	GT Diagonale Patrimoine	20
15-Jan-15	Bootcamp	30
15-Jan-15	soirée Agoraé	50
16-Jan-15	Remise diplôme 	60
17-Jan-15	soirée POLLEN	50
19-Jan-15	Coding Session	4
20-Jan-15	Masters&Mentors - design	50
21-Jan-15	SmallLab	6
22-Jan-15	Bioinspired Journal Club	10
23-Jan-15	Rendu Archi	30
26-Jan-15	Coding Session	6
27-Jan-15	Dej Siana	20
27-Jan-15	AAP Diagonale	80
02-Feb-15	Coding Session - R	5
03-Feb-15	Masters FlyLab	30
09-Feb-15	Bootcamp #2	30
09-Feb-15	Coding Session - fablab Ulis	20
10-Feb-15	Masters&Mentors - Growth Hacking	15
16-Feb-15	Coding Session - Arduino	10
17-Feb-15	Masters&Mentors Vente B2B	15
17-Feb-15	HT Paris-Saclay Kick Off	100
18-Feb-15	Débat Agoraé	30
19-Feb-15	Bioinspired Journal Club	10
23-Feb-15	Coding Session - Arduino	10
24-Feb-15	Masters&Mentors - Growth Hacking	15
25-Feb-15	SmallLab	5
26-Feb-15	RDV Science Essonne	20
02-Mar-15	réunion Danone	10
02-Mar-15	Coding Session	6
03-Mar-15	Masters&Mentors #6	12
04-Mar-15	SmallLab	6
09-Mar-15	Coding Session	6
10-Mar-15	Matinale Optics Valley	40
11-Mar-15	Hackaton Wikidata	40
12-Mar-15	Open éducation Week	4
13-Mar-15	OMP	150
16-Mar-15	Coding Session	6
18-Mar-15	SmallLab	5
19-Mar-15	Bioinspired Journal Club	15
20-Mar-15	Nanomatérial for Energy & Environment	80
23-Mar-15	Coding Session	5
24-Mar-15	Masters&Mentors #7	20
25-Mar-15	SmallLab	5
30-Mar-15	CA2E Dev Eco	10
30-Mar-15	Coding Session	5
01-Apr-15	SmallLab	5
07-Apr-15	Training Spring Session	30
08-Apr-15	SmallLab	5
09-Apr-15	Rendu maquillage	200
10-Apr-15	RAMP	30
13-Apr-15	Coding Session	5
14-Apr-15	Pop-up Librairie	15
15-Apr-15	SmallLab	5
20-Apr-15	Coding Session	5
21-Apr-15	Quel bureau pour demain	15
22-Apr-15	SmallLab	5
23-Apr-15	Grand Paris Express	20
27-Apr-15	Rencontre autour du Point F	30
29-Apr-15	SmallLab	5
02-May-15	Palette party	6
04-May-15	Coding session	=6
05-May-15	Masters&Mentors #9	=15
06-May-15	Serious game prospectif	12
06-May-15	SmallLab	5
07-May-15	Paris-Saclay fait la révolution du vélo	=40
11-May-15	Coding session	2
13-May-15	SmallLab, Kinect	6
18-May-15	Coding session	2
19-May-15	Anniversaire	150
20-May-15	SmallLab	2
21-May-15	IPHE - phase 2	20
21-May-15	Pop-up librairie	20
25-May-15	Coding Session	2
26-May-15	MyBusyMeal, Summer MBM	10
27-May-15	SmallLab	5
01-Jun-15	Coding Session	2
02-Jun-15	Masters&Mentors #10	25
03-Jun-15	Innovation frugale & bio-inspiration	10
03-Jun-15	SmallLab	5
04-Jun-15	Mediactif - comité de pilotage	15
05-Jun-15	Challenge Saclay #2	50
08-Jun-15	Coding Session	2
09-Jun-15	Rendez-vous de Sciences Essonne	10
10-Jun-15	DRIM'in Saclay - kick off	50
10-Jun-15	SmallLab	5
11-Jun-15	Communauté Marie-Curie	30
12-Jun-15	Séminaire collaboratif EDF	20
15-Jun-15	Coding Session	2
16-Jun-15	FENS 2015, RAMP #4 El Ninõ	30
17-Jun-15	FENS 2015, Hello Tomorrow meets Campus Paris-Saclay	70
17-Jun-15	SmallLab	2
18-Jun-15	FENS 2015, Remixons la culture scientifique avec le numérique	120
22-Jun-15	SmartAutoStop - meeting	15
22-Jun-15	Coding Session	2
23-Jun-15	Petit déjeuner du groupe Signos	10
23-Jun-15	Hello Tomorrow + CEA	30
24-Jun-15	déjeuner LAL	80
24-Jun-15	SmallLab	5
25-Jun-15	Apéro Physique	20
26-Jun-15	MyBusyMeal : Summer MBM 2/4 « Gestion et harmonie interculturelle »	7
26-Jun-15	mathématiques clandestines	11
29-Jun-15	Répétition théâtre	15
29-Jun-15	soirée Innovation Summer Camp 15'	40
29-Jun-15	Coding Session	2
30-Jun-15	Répétition théâtre	10
30-Jun-15	Masters & Mentors #11 - entrepreneurs, apprenez à communiquer avec votre tête, votre coeur et vos tripes	15
01-Jul-15	Répétition théâtre	10
01-Jul-15	SmallLab	2
02-Jul-15	Répétition théâtre	10
03-Jul-15	Dej. dir com EPA	10
06-Jul-15	Coding Session	2
08-Jul-15	réunion TEDx Saclay	10
08-Jul-15	SmallLab	2
09-Jul-15	MIC - SystemX	30
13-Jul-15	Coding Session	2
15-Jul-15	Pot de départ Patrick Cheenne	20
16-Jul-15	MyBusyMeal : Summer MBM 3/4 « Un serial entrepreneurs répond à vos questions ! »	5
20-Jul-15	Coding Session	2
21-Jul-15	Séminaire Direction Estaca	10
22-Jul-15	SmallLab	2
24-Jul-15	réunion Superconnecteurs	10
27-Jul-15	Coding Session	2
29-Jul-15	SmallLab	2
31-Jul-15	MyBusyMeal Summer MBM 4/4 « Pourquoi je ne décroche pas pendant mes congés ? »	10
02-Sep-15	Kick-Off OpenDrimKit	30
03-Sep-15	Licence Pro Bio L3	30
04-Sep-15	Kick-Off OpenDrimKit	30
05-Sep-15	Kick-Off OpenDrimKit	30
08-Sep-15	atelier Cergy	40
11-Sep-15	promenades urbaines Paris-Saclay	15
14-Sep-15	réunion Superconnecteurs	10
15-Sep-15	Masters & Mentors #12	20
18-Sep-15	soirée POLLEN	80
21-Sep-15	Kick-Off GreenLab 	20
22-Sep-15	Indian Summer MBM 1/4 Jour	10
25-Sep-15	Indian Summer MBM 2/4 Nuit	5
26-Sep-15	promenades urbaines Paris-Saclay	15
30-Sep-15	Dejeuner OuiHop	15
01-Oct-15	Kick off TedX	15
01-Oct-15	projection MOMMY - Agoraé	20
05-Oct-15	Dejeuner OuiHop	15
06-Oct-15	Indian Summer MBM 3/4 Jour	5
06-Oct-15	Training Sprint - Deep Learning	40
07-Oct-15	workshop préfiguration GreenLab #2	10
08-Oct-15	RAMP - Insect (datascience)	30
